lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,0.0,0.0
112.98227098254235,127.64993556372616,0.0,0.0
127.64993556372616,144.2217961076498,0.0,0.0
144.2217961076498,162.94506049423458,0.0,0.0
162.94506049423458,184.09902980026348,0.0,0.0
184.09902980026348,207.99926472516506,0.0,0.0
207.99926472516506,235.00229291348137,0.0,0.0
235.00229291348137,265.51092739469743,0.0,0.0
265.51092739469743,299.9802754773383,0.0,0.0
299.9802754773383,338.924527733983,0.0,0.0
338.924527733983,382.9246283507105,0.0,0.0
382.9246283507105,432.63694126209293,0.0,0.0
432.63694126209293,488.8030413473199,0.0,0.0
488.8030413473199,552.2607767459375,0.0,0.0
552.2607767459375,623.9567673133882,0.0,0.0
623.9567673133882,704.9605256599227,0.0,0.0
704.9605256599227,796.4804114210489,0.0,0.0
796.4804114210489,899.8816567545975,0.0,0.0
899.8816567545975,1016.70673195667,1.3578115311159875e-07,1.0651503893256233e-10
1016.70673195667,1148.6983549970353,1.1248810466717559e-06,3.485799129477779e-10
1148.6983549970353,1297.8254882147567,1.3264904845647403e-06,4.184644885586493e-10
1297.8254882147567,1466.312709975298,1.6812068497023575e-06,5.39121561367594e-10
1466.312709975298,1656.6733994357496,2.151777118184049e-06,6.522849318770108e-10
1656.6733994357496,1871.7472294461966,2.644347070585236e-06,8.603549488104763e-10
1871.7472294461966,2114.7425268811285,3.4163742149916374e-06,1.1466429329949808e-09
2114.7425268811285,2389.2841323038974,4.443623753381788e-06,1.4748592704890102e-09
2389.2841323038974,2699.4674729024773,7.355627488191098e-06,2.2742144110094947e-09
2699.4674729024773,3049.919655320262,8.467634210262326e-06,2.64873980980121e-09
3049.919655320262,3445.868489723756,5.5184546169390597e-05,9.564571001137963e-09
3445.868489723756,3893.2204747617334,5.062275686885983e-05,9.839609041953102e-09
3893.2204747617334,4398.648906743123,6.560945186310753e-06,2.042387993437448e-09
4398.648906743123,4969.693427387147,7.937339529738267e-06,2.289863240046858e-09
4969.693427387147,5614.872495132142,9.883179661829476e-06,3.0140418285664908e-09
5614.872495132142,6343.810457774433,1.057802540360355e-05,3.5069154426057712e-09
6343.810457774433,7167.381122021563,1.3752344602013059e-05,4.369560280061607e-09
7167.381122021563,8097.869961633985,3.4310182864926186e-05,9.353499849508182e-09
8097.869961633985,9149.157383867207,2.492728383548983e-05,8.27124600514988e-09
